From	To
Q6ZNK6	hsa:497189
Q9Y4K3	hsa:7189
Q9NR31	hsa:56681
Q15797	hsa:4086
P53986	mmu:20501
P33176	hsa:3799
Q96EK5	hsa:26128
Q9NPY3	hsa:22918
P02745	hsa:712
P03211	vg:3783774
Q15796	hsa:4087
Q9SYQ8	ath:AT1G75820
O80809	ath:AT1G65380
Q99576	hsa:1831
O43524	hsa:2309
P55196	hsa:4301
Q9NYB0	hsa:54386
Q7L7X3	hsa:57551
O60566	hsa:701
Q9BZM4	hsa:79465
Q29983	hsa:100507436
Q8TD07	hsa:135250
Q61508	mmu:13601
P36888	hsa:2322
P62149	gga:395855
P62149	gga:396523
Q09472	hsa:2033
P16070	hsa:960
P54130	mmu:14180
P16092	mmu:14182
Q03142	mmu:14186
P08047	hsa:6667
P02769	bta:280717
P04840	sce:YNL055C
P41593	mmu:19228
Q9WTJ5	mmu:51801
Q6ZP65	hsa:92558
Q6QLM7	rno:314906
P11655	sce:YNR026C
P48415	sce:YPL085W
P04003	hsa:722
P25942	hsa:958
Q95JH1	ssc:397063
Q8IUD6	hsa:84282
Q7Z434	hsa:57506
Q9BYX4	hsa:64135
O60423	hsa:148229
Q3MIR4	hsa:161291
Q8TF62	hsa:79895
Q9Y2Q0	hsa:10396
Q9NTI2	hsa:51761
Q16512	hsa:5585
Q15418	hsa:6195
Q16513	hsa:5586
P51812	hsa:6197
P38431	sce:YPR041W
P32481	sce:YER025W
Q99575	hsa:10940
Q96P20	hsa:114548
Q7JWH5	dme:Dmel_CG8998
Q24311	dme:Dmel_CG1877
O00482	hsa:2494
Q96EB6	hsa:23411
P08956	ecj:JW4313
P08956	eco:b4350
P08957	ecj:JW4312
P08957	eco:b4349
Q8QHK8	xla:379876
Q7ZX24	xla:399007
O15360	hsa:2175
Q00597	hsa:2176
P35872	ttj:TTHA0248
Q5SJE9	ttj:TTHA1065
P10999	xla:397910
P35968	hsa:3791
P17948	hsa:2321
Q5M9N9	mmu:21672
P60484	hsa:5728
Q920R0	mmu:74018
P00441	hsa:6647
P08238	hsa:3326
Q91XD2	mmu:225341
Q15404	hsa:6251
Q9GZX6	hsa:50616
Q13651	hsa:3587
Q14526	hsa:3090
P51531	hsa:6595
P04637	hsa:7157
Q04863	mmu:19698
Q04207	mmu:19697
Q13586	hsa:6786
Q13507	hsa:7222
Q9Y210	hsa:7225
O95999	hsa:8915
Q13489	hsa:330
Q86Y07	hsa:7444
P51452	hsa:1845
P49116	hsa:7182
O14733	hsa:5609
P34741	hsa:6383
P05230	hsa:2246
Q9QXX8	mmu:27275
Q61584	mmu:14359
Q61206	mmu:18475
Q61205	mmu:18476
P07203	hsa:2876
P09917	hsa:240
Q96UP3	spo:SPAC6F6.17
Q96TL7	spo:SPBC1778.02
Q8CBD1	mmu:268903
Q9JIF0	mmu:15469
P68254	mmu:22630
Q8TEW0	hsa:56288
P53667	hsa:3984
Q61559	mmu:14132
P27512	mmu:21939
Q8AVZ3	xla:379745
P02340	mmu:22059
P35917	mmu:14257
P35918	mmu:16542
Q00731	mmu:22339
Q9QWV9	mmu:12455
Q9ULX6	hsa:26993
P13861	hsa:5576
O43823	hsa:10270
P80370	hsa:8788
P46531	hsa:4851
Q7L3B6	hsa:55664
P04049	hsa:5894
Q8IRY7	dme:Dmel_CG7486
Q9W2K2	dme:Dmel_CG4279
Q9VEN9	dme:Dmel_CG5208
Q9VVI2	dme:Dmel_CG6311
Q9VTZ0	dme:Dmel_CG10686
Q9UM13	hsa:10393
Q13485	hsa:4089
Q9WTW2	mmu:57442
P23299	mmu:16509
P04608	vg:155871
Q56P03	hsa:55837
Q16254	hsa:1874
Q9JM90	mmu:56792
O60674	hsa:3717
Q9QVP9	mmu:19229
P18206	hsa:7414
Q9FEG2	ath:AT4G21790
P18064	ath:AT2G26300
Q39128	ath:AT5G46240
O89100	mmu:17444
P00918	hsa:760
P40879	hsa:1811
P35570	rno:25467
P62994	rno:81504
Q1JU68	rno:292148
P07522	rno:25313
P29150	vg:956647
O04663	ath:AT5G35620
Q66HA7	rno:361391
P62960	mmu:22608
Q62725	rno:25337
Q13905	hsa:2889
Q9UHJ6	hsa:23729
P15498	hsa:7409
P29353	hsa:6464
P15499	mmu:19133
Q9JJZ9	mmu:30952
P15976	hsa:2623
Q05513	hsa:5590
P63165	hsa:7341
Q9Y2Q3	hsa:373156
O94907	hsa:22943
P04628	hsa:7471
Q96B97	hsa:30011
Q92956	hsa:8764
Q99626	hsa:1045
P20226	hsa:6908
Q5JTD0	hsa:93643
Q9Y624	hsa:50848
A5JSJ9	hsa:9076
Q07157	hsa:7082
Q99K43	mmu:233406
P38532	mmu:15499
Q9P055	hsa:51528
Q9UBP5	hsa:23493
Q92575	hsa:23190
Q92890	hsa:7353
Q9NZQ7	hsa:29126
P10747	hsa:940
P16410	hsa:1493
O88565	rno:100361891
O88565	rno:64633
P47224	hsa:5877
Q965M2	cel:CELE_T21D12.9
P12643	hsa:650
Q66T02	mmu:269608
P63001	mmu:19353
P60766	mmu:12540
Q9QUL0	rno:58937
P01237	rno:24683
O15379	hsa:8841
Q99814	hsa:2034
Q8C129	mmu:240028
P43407	mmu:15529
P21981	mmu:21817
Q9UKG1	hsa:26060
P20338	hsa:5867
P51149	hsa:7879
P62491	hsa:8766
Q8NEU8	hsa:55198
P02753	hsa:5950
P52205	bta:281465
Q92769	hsa:3066
Q04206	hsa:5970
Q96AD5	hsa:57104
Q8CGN5	mmu:103968
P25822	dme:Dmel_CG9755
Q9NV70	hsa:55763
P61586	hsa:387
P12259	hsa:2153
P01023	hsa:2
Q8IUC6	hsa:148022
P49815	hsa:7249
Q13309	hsa:6502
Q92574	hsa:7248
P46527	hsa:1027
P24864	hsa:898
P46414	mmu:12576
Q03147	mmu:12572
Q9WTW1	rno:171571
P31016	rno:29495
Q9UM73	hsa:238
P21246	hsa:5764
P10398	hsa:369
Q07817	hsa:598
P10415	hsa:596
P04792	hsa:3315
P23588	hsa:1975
Q14152	hsa:8661
P06730	hsa:1977
P60842	hsa:1973
Q9BUB5	hsa:8569
P19940	bsu:BSU15330
P48736	hsa:5294
O00459	hsa:5296
Q9Y2U5	hsa:10746
Q99759	hsa:4215
P26955	mmu:12983
P04401	mmu:16191
O60313	hsa:4976
P46939	hsa:7402
Q8R4G0	mmu:80883
O08747	mmu:22253
Q8K1S4	mmu:107448
Q8K1S3	mmu:107449
Q8BP92	mmu:26611
P42858	hsa:3064
Q13127	hsa:5978
Q96NA2	hsa:83547
O75791	hsa:9402
Q07666	hsa:10657
Q07889	hsa:6654
P22681	hsa:867
P30658	mmu:12416
A2AM29	mmu:70122
Q8BH43	mmu:242687
Q9VR21	dme:Dmel_CG15632
P47825	dme:Dmel_CG5444
Q8VHZ5	mmu:73284
Q9EP53	mmu:64930
P15531	hsa:4830
Q00987	hsa:4193
P58772	ocu:100125989
P04626	hsa:2064
P22455	hsa:2264
P09038	hsa:2247
P21836	mmu:11423
Q8BGS1	mmu:226352
P62331	mmu:11845
Q09163	mmu:13386
Q01705	mmu:18128
Q7KT06	dme:Dmel_CG14396
P48540	mmu:14573
Q9WTL8	mmu:11865
O08785	mmu:12753
Q9Y613	hsa:29109
P60953	hsa:998
P15153	hsa:5880
P60763	hsa:5881
P13405	mmu:19645
Q61501	mmu:13555
P08646	dme:Dmel_CG9375
Q08877	rno:171574
Q62600	rno:24600
P39052	rno:25751
P49767	hsa:7424
P03244	vg:2652981
Q13158	hsa:8772
Q14790	hsa:841
P01100	hsa:2353
P0AG74	ecj:JW0538
P0AG74	eco:b0550
P24230	ecj:JW3627
P24230	eco:b3652
P49207	hsa:6164
P06493	hsa:983
Q90681	gga:395817
P01344	hsa:3481
Q32NU6	xla:380564
P22736	hsa:3164
Q14686	hsa:23054
Q9Y6X2	hsa:10401
P42224	hsa:6772
P23511	hsa:4800
Q05193	hsa:1759
P04601	vg:156110
P07249	sce:YMR042W
P13574	sce:YHR084W
P19419	hsa:2002
P17839	ath:AT4G18960
Q9UBF6	hsa:9616
P68400	hsa:1457
Q7Z6M1	hsa:10244
P01112	hsa:3265
P39060	hsa:80781
P15692	hsa:7422
O14543	hsa:9021
Q13239	hsa:6503
Q6PIZ9	hsa:50852
P43403	hsa:7535
Q13571	hsa:7805
P20963	hsa:919
P04156	hsa:5621
Q9UM11	hsa:51343
P02771	hsa:174
P32927	hsa:1439
P60568	hsa:3558
Q9ERI2	mmu:11891
Q99104	mmu:17918
Q99N11	mmu:105352
Q03137	mmu:13838
P00813	hsa:100
P27487	hsa:1803
Q20758	cel:CELE_F54C9.10
O45379	cel:CELE_F19H8.3
Q9N3C8	cel:CELE_Y54E10BR.2
Q9UIL1	hsa:60592
P46934	hsa:4734
Q9Y5X1	hsa:51429
P27882	sce:YGR029W
P36046	sce:YKL195W
O08715	mmu:11640
P31324	mmu:19088
Q64092	mmu:209446
Q03141	mmu:17169
P17480	hsa:7343
Q9HB40	hsa:59342
Q9UKV8	hsa:27161
P70371	mmu:21749
Q6PFX9	mmu:21951
Q3UES3	mmu:74493
Q6NXK8	mmu:11419
Q62108	mmu:13385
Q9UJW0	hsa:51164
Q04656	hsa:538
Q8N668	hsa:150684
O00244	hsa:475
Q762B6	hsa:538
P69908	ecj:JW3485
P69908	eco:b3517
Q8NHR9	hsa:375189
P60709	hsa:60
P35548	hsa:4488
P29590	hsa:5371
P17560	ssc:396934
P00797	hsa:5972
P11021	hsa:3309
P09729	vg:3077455
P09728	vg:3077551
O55055	mmu:13434
Q9UJW3	hsa:29947
Q9UBB5	hsa:8932
O95983	hsa:53615
Q8UVW8	xla:399172
P51167	xla:397811
P09866	vg:5075729
Q4GWZ2	ssc:641351
P02730	hsa:6521
P16157	hsa:286
P01186	rno:24221
P30560	rno:25107
P17141	mmu:22696
P63244	hsa:10399
P15208	mmu:16337
P05017	mmu:16000
P51677	hsa:1232
P10147	hsa:6348
P13236	hsa:388372
P13236	hsa:6351
P34932	hsa:3308
Q07812	hsa:581
P03682	vg:6446523
P97471	mmu:17128
P70323	mmu:21380
P97454	mmu:17129
O35182	mmu:17130
P46630	ocu:100009152
P63170	rno:58945
P04233	hsa:972
Q06481	hsa:334
Q99497	hsa:11315
Q9UBK2	hsa:10891
P16333	hsa:4690
P00533	hsa:1956
Q8CGY6	mmu:217012
P02609	gga:776775
Q96QF0	hsa:117177
Q16384	hsa:6756
Q99909	hsa:10214
O60224	hsa:548313
O60224	hsa:6759
Q9Y2D8	hsa:117178
Q60972	mmu:19646
Q01147	mmu:12912
P78364	hsa:1911
Q15910	hsa:2146
Q9BQ52	hsa:60528
Q06587	hsa:6015
P25916	mmu:12151
P41587	hsa:7434
O60894	hsa:10267
O60895	hsa:10266
O60896	hsa:10268
Q60954	mmu:17268
Q789F3	gga:693248
P35452	hsa:3238
P14921	hsa:2113
Q92793	hsa:1387
O34580	bsu:BSU06610
P37455	bsu:BSU40900
P54394	bsu:BSU22400
P22303	hsa:43
P00915	hsa:759
P21803	mmu:14183
P15655	mmu:14173
P05412	hsa:3725
P05549	hsa:7020
P06400	hsa:5925
P84022	hsa:4088
Q08999	hsa:5934
P04406	hsa:2597
P0AG86	ecj:JW3584
P0AG86	eco:b3609
P02925	ecj:JW3730
P02925	eco:b3751
P70188	mmu:16579
Q8TCT9	hsa:81502
Q9Y6X1	hsa:27230
P31786	mmu:13167
O89090	mmu:20683
P06537	mmu:14815
P24394	hsa:3566
P35225	hsa:3596
Q8WXW3	hsa:10464
Q8CF89	mmu:66513
Q64729	mmu:21812
Q62312	mmu:21813
P49848	hsa:6878
Q15545	hsa:6879
P54921	rno:140673
Q63666	rno:25624
P61588	mmu:74194
P70336	mmu:19878
O15197	hsa:2051
Q5JZY3	hsa:284656
P25963	hsa:4792
Q13546	hsa:8737
P25446	mmu:14102
P20023	hsa:1380
O35657	mmu:18010
P01132	mmu:13645
Q01831	hsa:7508
P0A9H1	ecj:JW3040
P0A9H1	eco:b3068
P09471	hsa:2775
O00167	hsa:2139
Q0VC48	bta:505645
Q28177	bta:281645
P48616	bta:280955
P20942	rno:25343
Q32L40	bta:512043
Q8AZK7	vg:3783746
P12978	vg:3783761
Q8N6C5	hsa:3547
P05111	hsa:3623
P09529	hsa:3625
Q86XR8	hsa:9702
Q9Y294	hsa:25842
P15172	hsa:4654
Q01105	hsa:6418
P19838	hsa:4790
P50591	hsa:8743
O43557	hsa:8740
P01374	hsa:4049
P01375	hsa:7124
P48023	hsa:356
P29965	hsa:959
P32971	hsa:944
O43508	hsa:407977
O43508	hsa:8742
P41273	hsa:8744
P43489	hsa:7293
O75888	hsa:8741
O14788	hsa:8600
O95150	hsa:9966
P06729	hsa:914
P09326	hsa:962
P13987	hsa:966
Q13347	hsa:8668
P27037	hsa:92
Q04771	hsa:90
P36897	hsa:7046
P0A6A8	ecj:JW1080
P0A6A8	eco:b1094
P0AG20	ecj:JW2755
P0AG20	eco:b2784
P11084	ocu:100009163
P30154	hsa:5519
