METHOD,LOG_LOSS,BRIER_SCORE,PR_AUC
XGW,0.02651425131840887,0.006906486934011623,0.7925697888316499
SWC,0.08514597683625294,0.014307976915641655,0.3944400663612416
TOPO_GO,0.14077659449876928,0.028024379995916643,0.7121523047234939
ALL,0.1444373379902871,0.02767468860306001,0.6416568381032383
TOPO_GO_CO_EXP,0.16800663314535888,0.035798074913253694,0.6774676554851355
GO_SS,0.18075062278170267,0.04146657550280347,0.6588243461065211
ASSOC,0.18289891887518847,0.04577727955797862,0.18873409912701739
GO_CC,0.22664485980792998,0.053380296432013086,0.7580710349348276
TOPOS,0.2294283704445105,0.016829797180206225,0.3251798388720222
TOPO_CO_EXP,0.2333288738269339,0.048800027478180664,0.18673111512368568
CO_OCCUR,0.23745831176938328,0.01683000448147748,0.15946524702881526
TOPO,0.33164274926432513,0.01807814732751211,0.31694144031886023
GO_BP,0.37523661351267706,0.07665395592694142,0.1485429733376782
REL,0.5518813745441817,0.046698323890002516,0.14353002765733755
CO_EXP,0.5661544270963765,0.1507344776585427,0.044101468346799774
TOPO_L2,0.5828893791855465,0.026565866067206668,0.026483789881236664
STRING,0.6659638691353641,0.18194442794703233,0.3015566717606005
GO_MF,0.9611003503537969,0.04634820416235233,0.478780096166686
unweighted,34.2724654716918,0.950859922597077,0.5245700387014616
