METHOD,LOG_LOSS,BRIER_SCORE,PR_AUC
XGW,0.03790952509893208,0.009844893693245881,0.8001040253091218
SWC,0.12477276833412092,0.02253170027596579,0.399302479871733
TOPO_GO,0.1434454499413505,0.030926239256611164,0.6987193140491746
ALL,0.1659758452883417,0.03538191906930979,0.6334596806485685
TOPO_GO_CO_EXP,0.1779318907356096,0.04090761907194998,0.6738969210582527
GO_SS,0.18889998269059136,0.04652989215873511,0.6691086212882938
GO_CC,0.23154884384522068,0.05540095728050513,0.7987830972525878
ASSOC,0.23589431698067737,0.06432388483767967,0.19172900618891403
CO_OCCUR,0.34718530418519683,0.025224870728299504,0.1626524445054574
TOPO_CO_EXP,0.3650675132435768,0.05793767206536164,0.09345403860226598
GO_BP,0.43478287156249307,0.08468409731688817,0.16966549386151936
TOPOS,0.6754627032489642,0.02508088707498053,0.16683449575826284
CO_EXP,0.7134740498887904,0.17942219357391176,0.05229521612808354
REL,0.7713051481079276,0.05168753140136256,0.1669097226078291
TOPO,0.8019661369429272,0.02517340093448711,0.17670861439343827
TOPO_L2,0.8514637737903662,0.029119219220276122,0.062614307207855
STRING,0.9996348034840195,0.27662153271784623,0.30589718180438746
GO_MF,1.3158239492368584,0.05699492061653523,0.4944667360827283
unweighted,30.951657972508645,0.8587269896967227,0.5706365051516386
