PROTEIN_U,PROTEIN_V,PUBMED
YBR009C,YLR399C,14690608
YBR009C,YDR225W,19782029
YLR196W,YOL041C,14759368
YCL059C,YDL111C,29263326
YGR195W,YOL021C,11805826
YNL207W,YOR167C,30653518
YCR077C,YER146W,14759368
YHL015W,YNL112W,31062022
YBR080C,YJL127C,25228766
YJR007W,YPR041W,16554755
YGL207W,YIL035C,33963860
YER091C,YML001W,25948753
YDL065C,YLR191W,15133130
YHR186C,YJL008C,11805837
YDR388W,YIL094C,11805837
YBR088C,YBR088C,16476998
YCL040W,YLL026W,28484020
YER132C,YNL307C,20489023
YBL017C,YHR064C,19536198
YER157W,YNL051W,15932880
YDL229W,YGL220W,19536198
YNL131W,YPL204W,21215441
YCL059C,YOR224C,29263326
YJL129C,YOR119C,30011030
YBR061C,YBR300C,11283351
YER013W,YNL154C,16319894
YFL002C,YLR002C,16429126
YKL022C,YNL172W,12402045
YHR165C,YPR178W,16429126
YBL087C,YOL098C,16429126
YHR135C,YMR165C,16319894
YHR064C,YOR244W,19536198
YDR159W,YOL072W,19289793
YJR127C,YNL209W,23332755
YNL209W,YOR188W,23332755
YJL095W,YOR231W,8757399
YJL092W,YOR033C,24896181
YER065C,YLR320W,26849847
YJL190C,YML049C,31062022
YGR204W,YOR276W,25973932
YGR218W,YIL142W,19536198
YAR018C,YLR105C,22875988
YER148W,YPL248C,10931832
YJL172W,YNL217W,20489023
YDR381W,YHR185C,16554755
YKL138C,YNL209W,23332755
YFL005W,YJL178C,23904270
YDL229W,YHR168W,19536198
YCR031C,YNL301C,31062022
YLR343W,YML019W,16093310
YJR074W,YJR123W,30249596
YBR009C,YLR399C,17049045
YGR218W,YLR131C,11027275
YMR229C,YNL299W,16554755
YBR142W,YPL131W,16429126
YPL178W,YPL178W,14759368
YFR038W,YNL153C,19536198
YGR218W,YJL122W,26673895
YML069W,YPR019W,23499444
YAL005C,YNL103W,19536198
YHR076W,YOR090C,28539364
YBL085W,YER158C,14737190
YPL240C,YPR086W,19536198
YBR211C,YOL069W,27524485
YLL002W,YNL246W,18568037
YDR388W,YOR369C,31062022
YGL207W,YLR183C,33963860
YNL027W,YPL204W,11805837
YMR116C,YOR198C,31062022
YDL140C,YJL140W,21074047
YJL065C,YNL209W,23332755
YBR231C,YDR334W,24034247
YDR393W,YGR089W,22875988
YHL030W,YJR045C,21321079
YAL059W,YBR194W,21386897
YDR062W,YMR296C,11781309
YOL038W,YPR103W,22940862
YFL037W,YLR291C,11805837
YHR052W,YLR074C,11805826
YFR028C,YLR182W,14993267
YML056C,YPL081W,31062022
YER179W,YIL144W,9335591
YLR226W,YPR161C,16554755
YAL043C,YDR311W,11283351
YDR101C,YJL122W,26709046
YBL037W,YBR169C,19536198
YGR253C,YHL030W,21321079
YGR082W,YMR186W,19536198
YNL007C,YOR057W,19536198
YDR356W,YER016W,9585415
YAL041W,YOR101W,32327559
YDL229W,YPL106C,24671421
YAL035W,YPR041W,16429126
YHR027C,YJL111W,18757749
YGR267C,YMR308C,18719252
YJR076C,YPL161C,11489916
YBL092W,YKR081C,21926967
YNL002C,YPL131W,23945946
YLL026W,YPR016C,27373154
YIL016W,YNL101W,16093310
YJR121W,YPR152C,21386897
YDL132W,YDL156W,22199229
YER048C,YOR095C,19536198
YML024W,YMR309C,16429126
YBR155W,YKL101W,16319894
YBL003C,YKL172W,19106085
YDR311W,YER171W,7768886
YCL056C,YDL198C,18467557
YER162C,YNL007C,19536198
YNL102W,YPR135W,22593576
YKL166C,YLR113W,16319894
YDR145W,YDR362C,30593915
YDR416W,YLL036C,19617314
YGR280C,YMR093W,24823796
YDL014W,YOL144W,16554755
YDL028C,YDR356W,20489023
YBL050W,YLR268W,17522384
YKL085W,YMR083W,31548421
YDR393W,YNL107W,22875988
YGL008C,YMR128W,29263326
YBR160W,YPR120C,23230424
YHR084W,YPL042C,12520306
YBR194W,YLR432W,21386897
YDR167W,YML098W,10655498
YHR102W,YML057W,24930733
YJL005W,YPR152C,21386897
YLR453C,YOR001W,11283351
YFR036W,YPL031C,16319894
YDL097C,YGL123W,31062022
YFR051C,YGL137W,16429126
YFL038C,YKR068C,11102533
YGL252C,YGL252C,18719252
YMR066W,YOR272W,11805837
YDR143C,YPL012W,21211726
YGL061C,YKR037C,12925767
YKL109W,YOR358W,16278450
YOR119C,YPR185W,30011030
YGR095C,YNL232W,33326748
YDR229W,YFR019W,29674454
YLR295C,YOR324C,11283351
