PROTEIN_U,PROTEIN_V,TOPO
YIL033C,YJL164C,0.5265076989212982
YDR477W,YNL257C,0.0
YCL009C,YMR108W,0.0
YIL035C,YOR039W,0.4197803960598783
YDL106C,YKR099W,0.0
YKL205W,YNR034W,0.0
YBR112C,YGL035C,0.0855066693420274
YBR143C,YDR172W,0.09560589087805112
YDR148C,YFL018C,0.3533877867105309
YDR148C,YIL125W,0.3068867305826173
YBR126C,YDR074W,0.25132366975076553
YBR126C,YML100W,0.19890168685237977
YDR074W,YMR261C,0.11443935173847826
YDR074W,YML100W,0.152585802317971
YKL022C,YNL172W,0.8602084506531171
YFR036W,YKL022C,0.8610638170095021
YHR166C,YKL022C,0.8703388478692071
YBL084C,YKL022C,0.859729768110389
YBL084C,YHR166C,0.8455735250565186
YER090W,YKL211C,0.0
YJR109C,YOR303W,0.0
YBR195C,YML102W,0.12325005144726903
YBR195C,YPR018W,0.11766261699129507
YML102W,YPR018W,0.12026500049487937
YER148W,YGR274C,0.46852209924714133
YCR042C,YER148W,0.23017646511955125
YDR270W,YNL259C,0.0
YER148W,YNL039W,0.043812142356414216
YGR246C,YNL039W,0.3018459129594615
YER148W,YGR246C,0.043812142356414216
YBR010W,YLR442C,0.4997311965334138
YLR442C,YNL031C,0.4997311965334138
YBR009C,YLR442C,0.41242275534813777
YLR442C,YNL030W,0.41242275534813777
YBR010W,YDR227W,0.24409941858424042
YDR227W,YNL031C,0.24409941858424036
YBR009C,YDR227W,0.1972507905924361
YDR227W,YNL030W,0.19725079059243608
YDR227W,YLR442C,0.45688925484306303
YLR442C,YNL216W,0.13729203840337142
YDR224C,YLR442C,0.49791381585549377
YDR227W,YNL216W,0.12492613853881601
YDL042C,YDR227W,0.08033168495723216
YDL077C,YDR080W,0.5824018651702547
YKL190W,YLR433C,0.0
YKL190W,YML057W,0.0
YIL033C,YPL203W,0.522132177101725
YIL033C,YKL166C,0.44411323598048386
YER111C,YLR182W,0.2096624011427172
YER111C,YPR119W,0.0
YLR182W,YPL204W,0.0
YHR135C,YNL154C,0.10495749981435454
YLR212C,YNL126W,0.48430003843268127
YHR172W,YLR212C,0.46272358635437283
YHR172W,YNL126W,0.6296154760912689
YDR356W,YNL126W,0.5824046061020515
YDR356W,YHR172W,0.49740511943583304
YKL182W,YPL231W,0.0
YDR085C,YHR107C,0.0
YDL043C,YJL203W,0.42223814708938406
YDL030W,YDL043C,0.3350649781500975
YDL030W,YJL203W,0.5936472662066159
YBR126C,YMR261C,0.14319629816666113
YOR039W,YOR061W,0.6118981973560024
YGL019W,YIL035C,0.5512464530523574
YGL019W,YOR061W,0.7449832821782324
YBR112C,YCR084C,0.2335869587756351
YDR225W,YLR442C,0.34878554312461485
YJL061W,YLR178C,0.0
YIL061C,YLR439W,0.0
YJR022W,YNR050C,0.0
YLR116W,YPL105C,0.2910021489759938
YBL101C,YJL203W,0.0
YBR114W,YIR009W,0.0
YIR009W,YOR017W,0.0
YHR197W,YIR009W,0.0
YER112W,YJR022W,0.6515834844843782
YDL030W,YDR421W,0.0
YIR009W,YKR099W,0.0
YDR195W,YER032W,0.0
YDR422C,YDR477W,0.09618242475594169
YBR097W,YLR240W,0.15893958744961037
YDL014W,YLL011W,0.21333465813137453
YGL086W,YGL116W,0.11999020628243122
YGL116W,YJL030W,0.12078929324774616
YJR086W,YOR212W,0.06046300999857437
YHR005C,YOR212W,0.0
YDR404C,YJL140W,0.6341239386836215
YDR002W,YLR293C,0.23587149167267193
YNL189W,YOR098C,0.18644495716001017
YDR123C,YOL108C,0.0
YMR198W,YPR141C,0.2240895942717938
YDL106C,YFR034C,0.0
YBR109C,YDR356W,0.0
YBR119W,YLR223C,0.0
YBR119W,YLR449W,0.0
YBR119W,YNL227C,0.0
YIL061C,YML016C,0.10156545279365302
YDR110W,YIL061C,0.18943213601058995
YAL047C,YIL061C,0.0
YCR101C,YIL061C,0.0
YFR039C,YIL061C,0.0
YGR203W,YIL061C,0.0
YIL061C,YLR017W,0.0
YIL061C,YLR213C,0.0
YIL061C,YMR009W,0.0
YIL061C,YMR044W,0.0
YIL061C,YNR016C,0.05054153866001271
YIL061C,YNL199C,0.0
YHR079C,YIL061C,0.0
YBL063W,YIL061C,0.0
YFL016C,YIL061C,0.04338671484852173
YHR023W,YIL061C,0.0
YER105C,YIL061C,0.0
YIL061C,YOR346W,0.0
YIL061C,YOL004W,0.01781555434877725
YIL061C,YPL016W,0.0
YBR117C,YIL061C,0.0
YER172C,YIL061C,0.04907774991294433
YBR112C,YIL061C,0.0
YIL061C,YPL215W,0.0
YDL013W,YIL061C,0.0
YER172C,YMR240C,0.21753455962227264
YMR240C,YPL016W,0.0
YMR240C,YOR319W,0.142284815142002
YLR090W,YMR240C,0.0
YGL035C,YMR240C,0.0358454161228073
YBR112C,YMR240C,0.0352792576681901
YGR056W,YOR319W,0.0
YJR022W,YOR319W,0.012300703242707283
YCR077C,YJR022W,0.5173030127885492
YDR228C,YJR022W,0.0
YEL015W,YJR022W,0.2677908858092755
YGL096W,YJR022W,0.012618751060760021
YHR034C,YJR022W,0.0
YIL173W,YJR022W,0.0
YDR277C,YJR022W,0.0
YGR158C,YJR022W,0.15231647212193053
YJR022W,YNR053C,0.24779343264575587
YER013W,YLR116W,0.0
YLR116W,YPL016W,0.14273309834173825
YJR066W,YLR116W,0.0
YJR005W,YLR116W,0.0
YDL156W,YLR116W,0.0
YIL130W,YLR116W,0.0
YLR116W,YMR065W,0.0
YLR116W,YML046W,0.15505995518620108
YBR172C,YLR116W,0.2910021489759938
YBR172C,YKL074C,0.2629574020375626
YKL074C,YPL105C,0.2629574020375626
YKL074C,YLR116W,0.5414505882719176
YKL074C,YML046W,0.13053871597920969
YGL035C,YKL074C,0.0
YKL074C,YPL016W,0.13333588841241598
YKL074C,YLR357W,0.0
YDL043C,YPL215W,0.0
YDL043C,YJL146W,0.0
YDL043C,YMR302C,0.0
YDL043C,YGR162W,0.04369387388868246
YDL043C,YGL049C,0.033948085704853484
YDL043C,YDR131C,0.20478423356529873
YDL043C,YDR409W,0.0
YDL043C,YER113C,0.0
YDL043C,YKL155C,0.0
YDL043C,YLL014W,0.0
YDL043C,YNL023C,0.0
YDL043C,YNR053C,0.11181865495962826
YJL203W,YNR053C,0.18553385252617896
YJL203W,YOL136C,0.0
YDR170C,YJL203W,0.0
YCR081W,YJL203W,0.0
YBL067C,YJL203W,0.0
YJL203W,YKR090W,0.0
YJL203W,YMR285C,0.0
YJL203W,YOL091W,0.0
YJL203W,YLR067C,0.0
YGR074W,YKL205W,0.0
YDR389W,YGR074W,0.0
YDR088C,YGR074W,0.0823398983285521
YBR043C,YGR074W,0.0
YGL202W,YGR074W,0.02577680286072396
YGR074W,YJR033C,0.0
