INFLATION,N_EDGES,METHOD,XVAL_ITER,DENS_THRESH,MATCH_THRESH,N_CLUSTERS,PREC_NUM,RECALL_NUM,PREC,RECALL,F_SCORE
4,all_edges,TOPO,0,0.0,0.5,386,40,42,0.11173184357541899,0.31343283582089554,0.16473818395763873
4,all_edges,TOPO,0,0.0,0.75,386,10,10,0.026246719160104987,0.07462686567164178,0.038834951456310676
4,all_edges,TOPO_L2,0,0.0,0.5,630,0,0,0.0,0.0,0.0
4,all_edges,TOPO_L2,0,0.0,0.75,630,0,0,0.0,0.0,0.0
4,all_edges,STRING,0,0.0,0.5,1044,17,17,0.016617790811339198,0.12686567164179105,0.029386343993085564
4,all_edges,STRING,0,0.0,0.75,1044,0,0,0.0,0.0,0.0
4,all_edges,CO_OCCUR,0,0.0,0.5,815,30,31,0.03816793893129771,0.23134328358208955,0.06552525893045867
4,all_edges,CO_OCCUR,0,0.0,0.75,815,10,10,0.012330456226880395,0.07462686567164178,0.021164021164021163
4,all_edges,REL,0,0.0,0.5,868,31,33,0.036860879904875146,0.2462686567164179,0.06412385996803209
4,all_edges,REL,0,0.0,0.75,868,4,4,0.004608294930875576,0.029850746268656716,0.007984031936127746
4,all_edges,CO_EXP,0,0.0,0.5,532,3,3,0.005671077504725898,0.022388059701492536,0.009049773755656108
4,all_edges,CO_EXP,0,0.0,0.75,532,0,0,0.0,0.0,0.0
4,all_edges,GO_CC,0,0.0,0.5,519,19,21,0.03747534516765286,0.15671641791044777,0.060486621693322216
4,all_edges,GO_CC,0,0.0,0.75,519,7,7,0.013539651837524178,0.05223880597014925,0.021505376344086023
4,all_edges,GO_BP,0,0.0,0.5,549,14,14,0.02626641651031895,0.1044776119402985,0.04197901049475263
4,all_edges,GO_BP,0,0.0,0.75,549,4,4,0.0072992700729927005,0.029850746268656716,0.011730205278592374
4,all_edges,GO_MF,0,0.0,0.5,570,17,18,0.030575539568345324,0.13432835820895522,0.04981279505127787
4,all_edges,GO_MF,0,0.0,0.75,570,1,1,0.0017574692442882249,0.007462686567164179,0.0028449502133712657
4,all_edges,ALL,0,0.0,0.5,785,29,34,0.03790849673202614,0.2537313432835821,0.06596200160556595
4,all_edges,ALL,0,0.0,0.75,785,7,7,0.008951406649616368,0.05223880597014925,0.015283842794759823
4,all_edges,GO_SS,0,0.0,0.5,620,20,21,0.033003300330033,0.15671641791044777,0.05452421134622873
4,all_edges,GO_SS,0,0.0,0.75,620,5,5,0.008077544426494346,0.03731343283582089,0.013280212483399733
4,all_edges,TOPOS,0,0.0,0.5,385,26,27,0.06989247311827956,0.20149253731343283,0.10378474275576582
4,all_edges,TOPOS,0,0.0,0.75,385,2,2,0.005208333333333333,0.014925373134328358,0.007722007722007721
4,all_edges,ASSOC,0,0.0,0.5,897,25,26,0.02844141069397042,0.19402985074626866,0.049610746450923525
4,all_edges,ASSOC,0,0.0,0.75,897,7,7,0.00782122905027933,0.05223880597014925,0.01360544217687075
4,all_edges,TOPO_GO,0,0.0,0.5,586,25,28,0.04401408450704225,0.208955223880597,0.07271216370624285
4,all_edges,TOPO_GO,0,0.0,0.75,586,6,6,0.010256410256410256,0.04477611940298507,0.016689847009735744
4,all_edges,TOPO_CO_EXP,0,0.0,0.5,652,16,16,0.02476780185758514,0.11940298507462686,0.04102564102564103
4,all_edges,TOPO_CO_EXP,0,0.0,0.75,652,3,3,0.004608294930875576,0.022388059701492536,0.007643312101910827
4,all_edges,TOPO_CO_EXP,0,0.0,0.5,652,16,16,0.02476780185758514,0.11940298507462686,0.04102564102564103
4,all_edges,TOPO_CO_EXP,0,0.0,0.75,652,3,3,0.004608294930875576,0.022388059701492536,0.007643312101910827
4,all_edges,TOPO_GO_CO_EXP,0,0.0,0.5,650,25,30,0.03924646781789639,0.22388059701492538,0.06678539626001781
4,all_edges,TOPO_GO_CO_EXP,0,0.0,0.75,650,4,4,0.0061633281972265025,0.029850746268656716,0.010217113665389526
4,all_edges,CNB,0,0.0,0.5,996,65,69,0.069593147751606,0.5149253731343284,0.12261468642353326
4,all_edges,CNB,0,0.0,0.75,996,14,14,0.014141414141414142,0.1044776119402985,0.02491103202846975
4,all_edges,RF,0,0.0,0.5,1050,70,74,0.07284079084287201,0.5522388059701493,0.12870524511143688
4,all_edges,RF,0,0.0,0.75,1050,23,23,0.022265246853823813,0.17164179104477612,0.03941730934018852
4,all_edges,MLP,0,0.0,0.5,931,76,81,0.08888888888888889,0.6044776119402985,0.15498684525233197
4,all_edges,MLP,0,0.0,0.75,931,29,30,0.03169398907103825,0.22388059701492538,0.05552718917538933
4,all_edges,SWC,0,0.0,0.5,951,61,63,0.06770255271920089,0.4701492537313433,0.11836087284598919
4,all_edges,SWC,0,0.0,0.75,951,14,14,0.014846235418875928,0.1044776119402985,0.025998142989786446
4,20k_edges,TOPO,0,0.0,0.5,267,51,55,0.204,0.41044776119402987,0.2725417800233191
4,20k_edges,TOPO,0,0.0,0.75,267,13,13,0.04905660377358491,0.09701492537313433,0.06516290726817044
4,20k_edges,TOPO_L2,0,0.0,0.5,528,0,0,0.0,0.0,0.0
